City,Monthly_Rent_1BHK,Monthly_Utilities,Monthly_Groceries,Meal_Cost,Transportation_Pass,Region,City_Tier,Total_Monthly_Cost,Rent_as_Percentage_of_Total,Language_Diversity_Score,Safety_Index,Crime_Index,Annual_Avg_PM2.5,Healthcare_Index,Avg_Annual_Temp_C,Avg_Annual_Rainfall_mm,Affordability_Index
Agartala,8000,2200,7500,150,600,East,Tier-3,18300,43.72,4,N/A,N/A,67.3,43.51,24,1722,0.92
Agra,9000,2400,7000,150,500,North,Tier-2,18900,47.62,2,61.1,38.9,94.4,34.44,25,774,1.10
Ahmedabad,15000,2500,8500,200,800,West,Tier-1,26800,55.97,4,68.2,31.8,37.1,62.71,26,1094,0.70
Aligarh,7000,1800,6000,100,400,North,Tier-3,15200,46.05,2,N/A,N/A,94.4,34.44,25,774,1.36
Allahabad,8500,2300,7200,130,550,North,Tier-2,18550,45.82,2,61.1,38.9,94.4,34.44,25,1019,1.12
Amritsar,11000,2800,8000,180,600,North,Tier-2,22400,49.11,2,61.1,38.9,70.3,65.83,21,746,0.81
Asansol,7500,2000,6800,120,500,East,Tier-3,16800,44.64,2,N/A,N/A,64.8,N/A,24,1722,1.20
Aurangabad,10000,2200,7500,160,650,West,Tier-2,20350,49.14,3,61.1,38.9,41.9,61.76,26,1094,0.99
Bangalore,28000,3500,11000,300,1500,South,Tier-1,44000,63.64,7,45.7,54.3,29.0,59.39,24,1962,0.43
Bareilly,8000,2100,6500,120,450,North,Tier-3,17050,46.92,2,N/A,N/A,94.4,34.44,25,774,1.22
Belgaum,9000,2000,7000,140,600,South,Tier-2,18600,48.39,3,61.1,38.9,29.0,59.39,24,1962,1.03
Bellary,8500,1900,6800,130,550,South,Tier-3,17750,47.89,2,N/A,N/A,29.0,59.39,24,1962,1.08
Bhavnagar,9500,2300,7200,150,600,West,Tier-2,19600,48.47,3,61.1,38.9,37.1,62.71,26,1094,0.96
Bhilai,7000,2000,6500,120,500,Central,Tier-2,16000,43.75,1,61.1,38.9,63.3,52.69,25,1043,1.10
Bhopal,11000,2400,7800,160,700,West,Tier-2,21900,50.23,3,61.1,38.9,52.3,40.77,25,1043,0.90
Bhubaneswar,12000,2500,8000,180,750,East,Tier-2,23250,51.61,2,61.1,38.9,47.8,40.19,24,1722,0.81
Bilaspur,7500,1900,6300,110,450,Central,Tier-3,16150,46.44,1,N/A,N/A,63.3,52.69,25,1043,1.09
Bokaro,8000,2100,6700,130,500,East,Tier-2,17300,46.24,3,61.1,38.9,64.0,48.25,24,1722,1.07
Chandigarh,18000,3200,9000,250,800,North,Tier-1,31000,58.06,2,57.4,42.6,48.6,58.35,25,774,0.48
Chennai,20000,3000,9500,200,1200,South,Tier-1,33700,59.35,3,60.3,39.7,28.2,64.05,26,1713,0.58
Coimbatore,15000,2800,8500,150,800,South,Tier-2,27100,55.35,1,61.1,38.9,28.2,64.05,26,1713,0.72
Cuttack,9000,2300,7300,140,600,East,Tier-2,19200,46.88,2,61.1,38.9,47.8,40.19,24,1722,0.98
Davanagere,8000,1800,6500,120,500,South,Tier-3,16800,47.62,1,N/A,N/A,29.0,59.39,24,1962,1.14
Dehradun,13000,2700,8200,200,700,North,Tier-2,24600,52.85,3,61.1,38.9,43.2,44.61,18,2024,0.70
Delhi,25000,3800,10000,300,1200,North,Tier-1,40000,62.50,3,41.0,59.0,126.5,59.84,25,774,0.43
Dhanbad,8500,2200,6800,130,550,East,Tier-2,18050,47.09,3,61.1,38.9,64.0,48.25,24,1722,1.02
Durgapur,9000,2300,7000,140,600,East,Tier-2,18900,47.62,2,61.1,38.9,64.8,N/A,24,1722,1.07
Erode,10000,2100,7500,120,650,South,Tier-2,20250,49.38,1,61.1,38.9,28.2,64.05,26,1713,0.97
Faridabad,14000,3000,8500,220,900,North,Tier-2,26400,53.03,1,61.1,38.9,90.1,47.59,25,774,0.66
Gandhinagar,13000,2600,8000,180,700,West,Tier-2,24300,53.50,3,61.1,38.9,37.1,62.71,26,1094,0.78
Ghaziabad,13000,2900,8300,200,850,North,Tier-2,25050,51.90,1,41.6,58.4,94.4,34.44,25,774,0.83
Goa,20000,3500,10000,350,1000,West,Tier-1,34500,57.97,4,57.35,42.65,29.1,53.13,26,1094,0.45
Greater Noida,16000,3100,8800,240,950,North,Tier-2,28850,55.46,1,61.1,38.9,94.4,34.44,25,774,0.72
Gurgaon,30000,4000,11500,350,1400,North,Tier-1,46900,63.97,1,46.0,54.0,90.1,47.59,25,774,0.37
Guwahati,12000,2700,8500,190,750,East,Tier-2,23950,50.10,6,61.1,38.9,34.9,45.84,24,1722,0.75
Gwalior,9000,2200,7000,140,550,Central,Tier-2,18750,48.00,1,61.1,38.9,52.3,40.77,25,1043,1.05
Haridwar,8500,2400,7200,150,600,North,Tier-2,18700,45.45,1,61.1,38.9,43.2,44.61,25,774,0.92
Hosur,12000,2500,8000,140,700,South,Tier-2,23200,51.72,3,61.1,38.9,28.2,64.05,24,1962,0.84
Howrah,9000,2500,7800,130,600,East,Tier-2,19900,45.23,2,61.1,38.9,64.8,N/A,24,1722,1.02
