Country,HDI rank 2022,HDI 1990,HDI 2000,HDI 2010,HDI 2015,HDI 2019,HDI 2020,HDI 2021,HDI 2022,Change in HDI rank (2015-2022),HDI growth % 1990-2000,HDI growth % 2000-2010,HDI growth % 2010-2022,HDI growth % 1990-2022
Switzerland,1,0.85,0.885,0.94,0.952,0.96,0.957,0.965,0.967,0,0.4,0.6,0.24,0.4
Norway,2,0.845,0.914,0.938,0.952,0.961,0.963,0.964,0.966,-1,0.79,0.26,0.25,0.42
Iceland,3,0.834,0.895,0.927,0.948,0.958,0.955,0.957,0.959,0,0.71,0.35,0.28,0.44
"Hong Kong, China (SAR)",4,0.739,0.831,0.914,0.936,0.953,0.955,0.959,0.956,2,1.18,0.96,0.38,0.81
Denmark,5,0.839,0.89,0.913,0.936,0.946,0.946,0.947,0.952,1,0.59,0.26,0.35,0.4
Sweden,5,0.808,0.903,0.91,0.937,0.947,0.944,0.949,0.952,0,1.12,0.08,0.38,0.51
Germany,7,0.828,0.89,0.929,0.941,0.951,0.948,0.948,0.95,-3,0.72,0.43,0.19,0.43
Ireland,7,0.743,0.851,0.908,0.924,0.942,0.945,0.946,0.95,8,1.37,0.65,0.38,0.77
Singapore,9,0.78,0.863,0.921,0.935,0.945,0.942,0.942,0.949,-1,1.02,0.65,0.25,0.61
Australia,10,0.864,0.896,0.924,0.933,0.941,0.948,0.949,0.946,-1,0.36,0.31,0.2,0.28
Netherlands,10,0.847,0.892,0.917,0.932,0.941,0.938,0.941,0.946,1,0.52,0.28,0.26,0.35
Belgium,12,0.814,0.884,0.913,0.924,0.936,0.93,0.938,0.942,3,0.83,0.32,0.26,0.46
Finland,12,0.811,0.887,0.912,0.93,0.939,0.939,0.941,0.942,0,0.9,0.28,0.27,0.47
Liechtenstein,12,NaN,0.871,0.916,0.926,0.94,0.933,0.936,0.942,2,NaN,0.51,0.23,NaN
United Kingdom,15,0.804,0.863,0.913,0.923,0.933,0.92,0.931,0.94,3,0.71,0.56,0.24,0.49
New Zealand,16,0.812,0.894,0.924,0.933,0.937,0.935,0.936,0.939,-7,0.97,0.33,0.13,0.46
United Arab Emirates,17,0.717,0.79,0.828,0.86,0.933,0.93,0.931,0.937,19,0.97,0.47,1.04,0.84
Canada,18,0.861,0.89,0.911,0.927,0.932,0.928,0.934,0.935,-5,0.33,0.23,0.22,0.26
