Country,Human Development Index (HDI) ,HDI rank 2022,Inequality-adjusted HDI (IHDI) 2022,Overall loss (%) 2022,Difference from HDI rank 2022,Coefficient of human inequality 2022,Inequality in life expectancy %,Inequality-adjusted life expectancy index,Inequality in education %,Inequality-adjusted education index,Inequality in income %,Inequality-adjusted income index,Poorest 40 percent / 2010-2022,Richest 10 percent / 2010-2022,Richest 1 percent / 2021,Gini coefficient / 2010-2022,
Switzerland,0.967,1,0.891,7.9,-3,7.6,3,0.959,2,0.906,17.7,0.814,19.9,25.8,9.9,33.1,
Norway,0.966,2,0.903,6.5,0,6.3,2.4,0.951,2.3,0.914,14.3,0.847,22.9,22.4,8.9,27.7,
Iceland,0.959,3,0.91,5.1,2,5,2.2,0.945,2.2,0.938,10.7,0.851,23.9,22.1,9.3,26.1,
"Hong Kong, China (SAR)",0.956,4,0.84,12.1,-17,11.7,2.2,0.968,8.7,0.829,24.1,0.738,NaN,NaN,17.9,NaN,
Denmark,0.952,5,0.898,5.7,2,5.6,3.1,0.923,2.6,0.908,11,0.864,23.4,22.9,13.4,27.5,
Sweden,0.952,5,0.878,7.8,-5,7.6,2.5,0.953,3.4,0.891,16.9,0.796,22,22.4,11.7,28.9,
Germany,0.95,7,0.881,7.3,-2,7.1,3.3,0.907,3.8,0.921,14.3,0.817,20.9,25.2,13.3,31.7,
Ireland,0.95,7,0.886,6.7,2,6.6,2.8,0.938,2.9,0.862,14,0.86,22.3,23.8,12.2,29.2,
Singapore,0.949,9,0.825,13.1,-17,12.5,2.3,0.964,9.4,0.785,25.9,0.741,NaN,NaN,10.3,NaN,
Australia,0.946,10,0.86,9.1,-4,8.8,3.3,0.946,4.7,0.88,18.5,0.763,19.5,26.6,9.9,34.3,
Netherlands,0.946,10,0.885,6.4,3,6.4,3.1,0.931,4.7,0.877,11.4,0.85,23.8,21.6,6.9,26,
Belgium,0.942,12,0.878,6.8,2,6.7,3.2,0.927,5.7,0.865,11.3,0.842,23.9,21.4,8.6,26,
Finland,0.942,12,0.886,5.9,7,5.8,2.6,0.934,2.1,0.911,12.8,0.818,23.5,22.6,11.8,27.1,
Liechtenstein,0.942,12,NaN,NaN,NaN,NaN,4.5,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
United Kingdom,0.94,15,0.865,8,2,7.8,3.5,0.923,3.3,0.906,16.7,0.773,20,25,12.7,32.6,
New Zealand,0.939,16,0.856,8.8,-2,8.7,3.8,0.932,4.1,0.894,18.1,0.752,NaN,NaN,11.9,NaN,
United Arab Emirates,0.937,17,0.859,8.3,1,8.2,4.4,0.871,9.8,0.815,10.4,0.894,23,20,15.3,26,
Canada,0.935,18,0.864,7.6,4,7.4,4,0.928,2.3,0.885,16,0.785,20.4,24.4,13.9,31.7,
Korea (Republic of),0.929,19,0.841,9.5,-2,9.3,2.6,0.959,8.8,0.801,16.4,0.774,20.5,24,11.7,31.4,
Luxembourg,0.927,20,0.839,9.5,-3,9.2,3.2,0.932,8.1,0.759,16.4,0.836,19.4,25,12.1,33.4,
United States,0.927,20,0.823,11.2,-8,10.7,5.6,0.845,2.6,0.885,23.9,0.745,16.6,30.1,19,39.8,
Austria,0.926,22,0.859,7.2,6,7,2.9,0.932,2.6,0.842,15.6,0.808,21.4,23.1,10.7,29.8,
Slovenia,0.926,22,0.882,4.8,13,4.7,2.1,0.935,2,0.895,10,0.82,25.1,20.5,8.4,24,
Japan,0.92,24,0.844,8.3,4,8.1,2.6,0.972,4.5,0.813,17.1,0.761,20.5,26.4,12.9,32.9,
Israel,0.915,25,0.808,11.7,-7,11.1,3.1,0.933,6.3,0.811,24,0.698,16.1,27.6,16,38.6,
Malta,0.915,25,0.837,8.5,1,8.3,4.2,0.939,5.2,0.804,15.5,0.778,21,25.1,10.7,31.4,
Spain,0.911,27,0.796,12.6,-12,12.3,2.6,0.957,15,0.721,19.2,0.732,18.1,25,11.4,34.9,
France,0.91,28,0.82,9.9,-1,9.8,3.6,0.937,7.8,0.769,17.9,0.764,21.2,24.5,9,30.7,
Cyprus,0.907,29,0.827,8.8,3,8.7,2.5,0.928,8.7,0.791,14.8,0.771,21.3,26.3,8.9,31.7,
Italy,0.906,30,0.802,11.5,-4,11.1,2.6,0.96,10,0.739,20.8,0.729,18.4,26.1,12.2,35.2,
Estonia,0.899,31,0.835,7.1,6,6.9,3.2,0.881,1.9,0.877,15.7,0.754,21.1,23.5,16.3,30.7,
Czechia,0.895,32,0.848,5.3,13,5.1,3.1,0.867,1.2,0.874,11.1,0.804,24.2,22.5,10.6,26.2,
Greece,0.893,33,0.801,10.3,-3,10.2,3.5,0.9,10.3,0.789,16.8,0.722,19.2,25.2,10,33.6,
Bahrain,0.888,34,NaN,NaN,NaN,NaN,4.4,0.871,8.8,0.749,NaN,NaN,NaN,NaN,24.3,NaN,
Andorra,0.884,35,0.81,8.4,3,8.3,4.8,0.931,5.6,0.701,14.4,0.814,NaN,NaN,NaN,NaN,
Poland,0.881,36,0.797,9.5,-3,9.3,3.9,0.843,4.2,0.845,19.8,0.71,22.3,23.1,15.2,28.8,
Latvia,0.879,37,0.802,8.8,2,8.3,4.2,0.824,1.8,0.888,19,0.706,18.6,27.5,8.6,35.7,
Lithuania,0.879,37,0.795,9.6,-4,9.1,4.2,0.801,2.9,0.879,20.4,0.715,19,28.5,12.5,36,
Croatia,0.878,39,0.817,6.9,8,6.9,3.3,0.882,3.9,0.81,13.5,0.763,21.3,22.3,9.3,29.5,
Qatar,0.875,40,NaN,NaN,NaN,NaN,4,0.909,11.2,0.627,NaN,NaN,NaN,NaN,22.4,NaN,
Saudi Arabia,0.875,40,NaN,NaN,NaN,NaN,5.1,0.845,12.6,0.698,NaN,NaN,NaN,NaN,21,NaN,
Portugal,0.874,42,0.774,11.4,-2,11.3,3,0.929,12.5,0.688,18.4,0.724,19.3,26.9,9.4,34.7,
San Marino,0.867,43,NaN,NaN,NaN,NaN,2.5,0.951,5.6,0.657,NaN,NaN,NaN,NaN,NaN,NaN,
