Country,HDI rank 2022,Gender Inequality Index 2022,Gender Inequality Rank 2022,Maternal mortality ratio 2020,Adolescent birth rate 2022,Share of seats in parliament 2022,Female secondary education 2022,Male secondary education 2022,Female labour force participation 2022,Male labour force participation 2022
Switzerland,1,0.018,3,7,2.2,39,96.9,97.5,61.5,71.9
Norway,2,0.012,2,2,2.2,45,99.1,99.3,62.5,69.6
Iceland,3,0.039,9,3,5.1,47.6,99.8,99.7,70.7,78.3
"Hong Kong, China (SAR)",4,NaN,NaN,NaN,1.6,NaN,77.9,84.1,52.9,64.7
Denmark,5,0.009,1,5,1.8,43.6,95.1,95.2,59.4,67.4
Sweden,5,0.023,4,5,3.3,46.4,92.4,92.7,63.7,70.4
Germany,7,0.071,19,4,7.2,34.8,95.4,95.9,56.1,66.6
Ireland,7,0.072,20,5,5.9,27.4,88.6,86.4,59.4,70.5
Singapore,9,0.036,8,7,2.5,29.1,80.5,85.9,63.4,77
Australia,10,0.063,17,3,7.7,44.5,94.6,94.4,62.3,71.1
Netherlands,10,0.025,5,4,2.7,37.8,89.8,92.7,63.6,72.4
Belgium,12,0.044,11,5,5.1,44.3,88.7,90.7,50.8,59.5
Finland,12,0.032,6,8,4.1,45.5,99.2,98.9,58.2,64.2
Liechtenstein,12,NaN,NaN,NaN,3,28,NaN,NaN,52.8,67.3
United Kingdom,15,0.094,28,10,10,31.3,99.8,99.8,59.1,68
New Zealand,16,0.082,23,7,11.8,50.4,82,81.8,66.9,75.9
United Arab Emirates,17,0.035,7,9,2.8,50,82,86.1,55.3,89.5
Canada,18,0.069,18,11,6.6,35,97.8,97.6,61.5,69.5
Korea (Republic of),19,0.062,16,8,2.1,18.6,83.8,93.5,55,73.7
Luxembourg,20,0.043,10,6,4.2,33.3,96.6,89.3,58,65.1
United States,20,0.18,44,21,15.1,28.1,95.4,95.1,56.8,68
Austria,22,0.048,12,5,5.2,41,100,100,56.6,66.7
Slovenia,22,0.049,13,5,4.4,33.1,97.8,98.8,54.3,63.6
Japan,24,0.078,22,4,2.8,15.4,98.2,99.1,54.2,71.4
Israel,25,0.092,26,3,7.4,23.3,92.5,94.5,61.2,68.5
