Title,Score,URL,Top comment Author,Top comment content
"TIL: To become King Louis XV's official mistress, Madame du Barry had a fake birth certificate made to hide her humble origin as the illegitimate daughter of a seamstress. The birth certificate claimed her family were nobility and that she was 3 years younger than her actual age.",5745,https://en.wikipedia.org/wiki/Madame_du_Barry,Ill_Definition8074,The 3 years younger thing is weird because Louis was 34 years older than Du Barry. I know it was the past but why does it matter if a woman is 23 or 20 when the man is 58?
"TIL in 2022, a dispute between Pantone and Adobe resulted in the removal of Pantone color coordinates from Photoshop and Adobe's other design software, causing colors in graphic artists' digital documents to be replaced with black unless artists paid Pantone a separate $15 monthly subscription fee.",20933,https://en.wikipedia.org/wiki/Pantone,rcreveli,"When I started in Printing back in the 90's Pantone was relatively benign. They were an industry standard without being an official standard. After they were bought by X-Rite things got bad. They kept trying to push new color systems to replace the Pantone Matching System.

The way the PMS system works is that every color can be mixed from a few base colors and each swatch book has the formulas. If you need Pantone 322 for one job you can mix it from stock colors and not buy a whole pound of the Ink. Pantone would love if you had to buy each color through them or an authorized ink manufacturer for every job. This is why ""innovative systems"" like Pantone Go get pushed. It sucks for the printer and raises the costs of a simple job."
TIL that a South Korean actor was abducted by dictator Kim Jong Il to upgrade North Korea's film industry and gain global recognition,1536,https://en.wikipedia.org/wiki/Abduction_of_Shin_Sang-ok_and_Choi_Eun-hee,Ok-Seaworthiness4488,NK also kidnapped a popular director and his actress wife to improve their films
TIL the Irish Crown Jewels were stolen in 1907 and have never been found.,2493,https://en.wikipedia.org/wiki/Irish_Crown_Jewels?wprov=sfti1,jezreelite,"The man who was supposed to be in charge of guarding them sounds like one of the most unreliable employees ever. 

>Vicars was known to get drunk on overnight duty and he once awoke to find the jewels around his neck. It is not known whether this was a prank or practice for the actual theft."
"TIL during WW1, the German Navy built a ship and painted it to look like a British ship called the RMS Carmania in order to infiltrate and destroy British convoys. On the ships first outing, the first enemy it encountered was the real RMS Carmania, which promptly sunk it.",3833,https://en.wikipedia.org/wiki/RMS_Carmania_(1905),PillowCasss,low stakes conspiracy the Germans sunk the real ship and successfully tricked everyone into believing they were the original
"TIL prior to Pope Francis in 2013, the last pope to choose a unique name without a regnal number was Pope Lando, who was pope from September 913 to March 914.",15022,https://en.wikipedia.org/wiki/Pope_Lando,DaveOJ12,TIL there was a pope named Lando.
"TIL about the UK's TV Pickup phenomenon, where the country's power grid would be drained by millions of British people getting up and using small electrical appliances (usually kettles) in between commercial breaks of popular TV shows. This phenomenon is unique to the UK.",1204,https://en.wikipedia.org/wiki/TV_pickup?wprov=sfla1,groovy-baby,"This is where pumped-storage hydroelectric comes into play. I went to see [Dinorwig Power Station](https://www.engie.co.uk/power-storage/dinorwig-power-station/) a couple of times, such a shame they closed the visitor centre."
"TIL about Slow TV, a Norwegian television genre that broadcasts real-time, unedited footage of ordinary events, such as a 7-hour train journey or a real-time broadcast of wild salmon migrating to spawn.",665,https://en.wikipedia.org/wiki/Slow_television,Sylogz,"same here in Sweden. We have **The Great Moose Migration**   
[https://www.svtplay.se/den-stora-algvandringen](https://www.svtplay.se/den-stora-algvandringen)"
"TIL that in 2009, Libyan leader Muammar Gaddafi publicly called for the dissolution of Switzerland and for its territory to be divided among France, Italy and Germany",1985,https://en.wikipedia.org/wiki/Libya%E2%80%93Switzerland_relations,xX609s-hartXx,His son got arrested and that was his reaction.
"TIL that the Imperial House of Japan is the oldest continuous hereditary monarchy in the world, having been traditionally founded in 660 BC, while the oldest historically-attested evidence of the dynasty dates to 539 AD, which was the start of Emperor Kinmei, who was the 29th Emperor to rule.",1007,https://en.wikipedia.org/wiki/Imperial_House_of_Japan,PoopMobile9000,"A big reason is the Emperor was mostly a figurehead for a long, long time.  Meaning all the shenanigans that get dynasties overthrown and replaced were happening to other offices with the true power — and those folks all had an incentive to keep the imperial line going to maintain the halo of their authority."
"Til that on the island of Svalbard (one of the only places where humans and polar bears live together) you are legally required to carry a equipment to scare polar bears away with you, if you are traveling outside of settlements.",681,https://www.sysselmesteren.no/en/weapon/,MissionCreeper,"If anyone is wondering about enforcement, you should also know the police force is entirely made up of polar bears"
"TIL that Satoshi Tajiri, the creator of Pokémon, loved to collect bugs as a child. Other children would call him “Mr. Bug,” and as a child he wanted to become an entomologist. This childhood pastime went on to inspire aspects of Pokémon.",664,https://kotaku.com/the-origins-of-pokemon-5806664,Chosen1PR,Guess that explains the [Bug Catcher](https://bulbapedia.bulbagarden.net/wiki/Bug_Catcher_(Trainer_class)) trainer that’s been around since Gen 1.
"TIL that the CIA created a gun that could shoot darts causing heart attacks. Upon penetration of the skin, the dart left just a tiny red dot. The poison worked rapidly and denatured quickly, leaving no trace. This weapon was revealed in a 1975 Congressional testimony.",222,https://www.military.com/history/cias-heart-attack-gun-cold-war-weapon-targeted-assassinations.html,aquaponic,And it’s totally never been used.
"TIL that Saddam Hussein considered himself to be Nebuchadnezzar, reincarnated. He spent a lot of money trying to restore Babylon and lived in a gigantic replica Babylonian palace, complete with Babylonian esque carvings depicting himself.",2704,https://projects.iq.harvard.edu/whoseculture/babylon,Mister-Psychology,"And had a Quran written in his blood. Of course if he's holy and the direct ancestor of prophet Muhammad then this Quran must be magical, according to his logic. But I assume this is the one Quran Muslims don't mind you burning."
TIL that bears maintain muscle mass during hibernation by recycling urea - the nitrogenous waste normally removed by urination,2268,https://en.wikipedia.org/wiki/Bear#Hibernation,ZestyStage1032,"So are you telling me that, if I drink my own pee, I can get swole?"
"TIL the US Post Office issued stamp on 13 May 1918 to mark the first official airmail flight, featuring an image of a “Curtiss Jenny” biplane. A printing error caused the plane to be shown flying upside down. Only one ""Inverted Jenny"" sheet was printed, making those stamps extremely rare.",807,https://www.postalmuseum.org/blog/worlds-rarest-stamps/,vulpinefever,"I learned about them on the Simpsons because there's gag where Homer's at a garage sale going through Mrs. Glick's junk she's selling for five cents and he passes up a copy of the deceleration of independence, an Action Comics #1, and an entire sheet of inverted jenny stamps, among other insanely valuable things."
TIL that since 2018 Morocco has a high-speed rail line connecting Tangier and Casablanca with a train that travels up to 320 km/h (199 mph).,714,https://en.wikipedia.org/wiki/Al_Boraq,Loki-L,"They are using a version of the French double-decker TGV rolling stock and are planning to expand the current line further.

I thought it was quite impressive."
TIL that “bloodcurdling” is more than just an expression. Watching horror movies can actually raise levels of a blood-clotting protein.,187,https://www.nbcnews.com/health/health-news/scary-movie-really-blood-curdling-n481456,51CKS4DW0RLD,"Omg I thought the expression was ""blood-curling"""
